{ Design }

Public Health & CSR Operations ,1,3000
Operations Management ,1,1000
Credit Administration ,1,5000
Stock Market Execution  ,1,4000
Freelancer Recruitment ,1,3000
Office Coordination ,1,1000
Product Launch- Go To Market ,1,5000
Business Strategy ,7,20750
DTP Operation ,1,3000
Growth Hacking ,3,21000
Placement Coordination ,1,2500
National Coordination ,1,2000
Financial Governance and Compliance ,1,10000
Investment  ,1,15000
Project Coordination ,2,11000
Computer Operation ,1,3000
Business Planning And Strategy Development ,1,5000
Communication Strategy ,1,2500
Field Recruitment & Promotion ,1,2000
Product Coordination ,1,12000
Business Growth ,1,4000
Supply Chain Management  ,1,2000
Ecommerce Catalogue Management ,1,2500
Rural Management ,1,1000
Quality Support Management ,1,10000
Online Reputation Management ,1,2000
Hospital Management ,1,1000
Pre Sales Management ,1,5000
Project Management  ,1,10000
Regional Management ,1,2000
Sustainability Management ,1,1000
Influencer Management And Community Building ,1,5000
Shopify management ,1,5000
E-commerce Management ,1,10000
Process Management ,1,3000
Business Management ,2,5000
Data Management ,1,2000
Database Management ,1,12000
Affiliate Program Management ,1,8000
Medical Management ,1,5000
Partnerships & Alliances Management ,1,5000
Dietitian & Nutrition Management ,1,3000
Pharmacy Management ,1,3000
Product Management And Research ,1,1000
Technical Product Management ,1,30000
Project Management ,11,65000
Program Management ,4,20000
Business Development Management ,1,1000
Claim Management ,1,7000
Insurance & TPA Management ,1,5000
Event Management ,8,9000
Supplier Relationship Management ,1,5000
Engagement Management ,1,2000
Health Insurance Management & Actuarial Science ,1,3000
General Management ,3,1500
Environment & Waste Management Suslence Research ,1,1000
Community Management ,6,8500
Social Project Management ,1,1000
Brand Management ,2,12000
Parenting Workshop Management ,1,2000
Client Account Management ,1,3000
Fundraising Management ,1,1000
Artist Management ,1,1000
Accounting ,1,8000
Manual Testing And Project Co-ordination ,1,6000
Accounts & Compliance ,1,3000
Accounting Validation ,1,5000
Chartered Accountancy  ,1,20000
Accounts/Taxation ,1,1000
Accounts & Finance ,1,5000
Business Development - Autism Artificial Intelligence Platform ,1,10000
Stock Market Advisory ,1,2000
Comic Moderating ,1,8000
Online Video Calls Moderation ,1,3000
Business Strategy Consulting ,1,4000
Business Consulting ,1,2000
Tax Consulting ,1,10000
Consultant - Inside Sales ,1,10000

{ Presenter }

Defence Journalism ,1,12000
Podcast Creation ,1,3000
Acting ,3,9500
Transcription Marathi ,1,10000
Bengali Transcription ,1,10000
Voice Over ,3,3000
Voice Over  ,3,10000
Anchoring ,3,17000
Podcasting ,1,5000
News Reporting ,1,2000
Hindi Video Creation ,1,1000
Online Demo ,1,2500
Voice Over Art ,1,6000
News Anchoring ,1,1500
Video Anchoring ,2,6000
Quizz Master ,1,4000
Voice Over Artist ,1,3000
Game Master For Virtual Escape Rooms ,1,10000
Virtual Tours Using 3D Vista ,1,8000
Video Presenting ,1,2000
Voiceover ,2,8500
Acting/Presenting ,1,1000
Translation  ,1,2000
Product Demonstration ,1,10000
Writing & Recording  ,1,15000
Print Media & Video Press  ,1,2500
Travel & Tourism ,1,14000

{ Engineering }

Civil Engineering ,6,16500
Test Engineering  ,1,2000
Automobile Engineering ,1,5000
Electronics Engineering ,2,10000
Desktop Support Engineering ,1,8000
Electrical Engineering ,1,10000
Chemical Engineering ,1,6000
Backend Engineering ,1,25000
Aerospace Engineering ,1,1000
Biomedical Engineering ,1,8000
Mechanical Engineering ,2,10000
Food Processing Engineering ,1,1000
